サービス一覧へ戻る / PurchaseItemAPI

RMS WEB SERVICE : PurchaseItemAPI Message Codes Reference



1.共通

2.searchOrderItem

3.getOrderItem

共通
No.	Level	Message ID	Message	Description	HTTP Status Code
1	ERROR	ORDER_EXT_API_ERROR_001	リクエストデータの形式に不備があります。修正の上、再リクエストしてください。	リクエストデータの形式が不正	400
2	ERROR	ORDER_EXT_API_ERROR_002	URLに不備があります。修正の上、再リクエストしてください。	リクエストのURLが不正	404
3	ERROR	ORDER_EXT_API_ERROR_003	リクエストメソッドはPOSTを指定してください。	リクエスト形式が不正	405
4	ERROR	ORDER_EXT_API_ERROR_004	不明なエラーが発生しました。	不明なエラーが発生	400,404,405以外
searchOrderItem
No.	Level	Message ID	Message	Description	HTTP Status Code
1	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_000	不明なエラーが発生しました。	システムエラーが発生	500,200
2	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_001	リクエストヘッダ:content-type の項目を指定して下さい。	リクエストヘッダ:content-type の項目が未指定	400
3	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_002	リクエストヘッダ:content-type にはapplication/json; charset=utf-8 を指定して下さい。	リクエストヘッダ:content-type の値が未指定	400
4	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_003	リクエストヘッダ:content-type にはapplication/json; charset=utf-8 を指定して下さい。	リクエストヘッダ:content-type の値が無効	400
5	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_004	リクエストヘッダ:X-Rakuten-Orderext-Client-Id の項目を指定して下さい。	リクエストヘッダ:X-Rakuten-Orderext-Client-Id の項目が未指定	400
6	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_005	リクエストヘッダ:X-Rakuten-Orderext-Client-Id に値を指定して下さい。	リクエストヘッダ:X-Rakuten-Orderext-Client-Id に値が未指定	400
7	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_006	リクエストヘッダ:X-Rakuten-Orderext-Client-Id の値は使用が許可されたものではありません。	リクエストヘッダ:X-Rakuten-Orderext-Client-Id の値は使用が許可されたものではない	400
8	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_008	リクエストヘッダ:WL-Proxy-Client-IP の値が不正です。	リクエストヘッダ:WL-Proxy-Client-IP の値が不正	400
9	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_009	{0}の項目を指定して下さい。	{0}の項目が未指定	400
10	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_010	{0}の値を指定して下さい。	{0}の値が未指定	400
11	ERROR	ORDER_EXT_API_SEARCH_ORDER_ERROR_011	{0}の書式が不正です。	{0}の書式が不正	400
